lfp;k5;k618;age;wc;hc;lwg;inc
0;0;0;51;0;0;1.038096;14.756
0;0;0;60;0;0;.4162857;14
0;0;0;49;0;0;1.235715;15.5
0;0;0;49;0;0;.8514767;18.15
0;1;2;34;1;1;1.361571;96
0;0;0;44;0;0;1.122111;1.5
0;1;1;37;0;1;1.123472;37.6
0;0;0;54;1;1;1.252005;35.02
0;0;0;59;0;0;.8670031;32.242
0;1;3;36;0;1;.7379813;26.9
0;2;2;35;1;1;1.028466;36
0;0;3;53;0;0;.1006193;3.777
0;1;0;31;0;0;.8549775;12.092
0;0;2;54;0;1;1.188518;22.61
0;0;0;54;0;1;1.037513;32
0;0;0;45;0;0;.7362309;21.95
0;0;3;35;0;0;.6727635;12.367
0;0;0;51;0;0;.9750484;33.671
0;0;2;52;1;1;1.590416;23.675
0;0;1;48;0;0;.6948762;22
0;0;0;56;0;0;.5522678;9.38
0;1;3;41;0;0;.9769933;30.623
0;0;0;56;0;0;.6829725;22.15
0;0;1;45;1;1;1.279755;20.22
0;0;0;49;0;0;.6946817;18.29
0;0;0;57;1;1;1.516324;57
0;0;3;33;0;0;.7277094;19.876
0;1;1;42;0;0;.7739376;11.203
0;1;1;31;0;1;.9095345;19.022
0;0;0;52;0;0;1.122473;12.4
0;1;4;46;0;0;.7905933;30.65
0;0;2;49;0;0;.868948;16.736
0;0;1;43;0;0;1.266492;14
0;1;3;40;0;0;.907784;33.92
0;2;1;30;0;0;.4883839;16.2
0;0;1;45;0;1;1.016539;15.15
0;0;1;44;0;0;.8524491;13.39
0;0;0;52;0;0;1.258901;18.5
0;0;1;46;0;0;.8695315;17.635
0;0;2;40;0;1;.8376045;22.225
0;0;2;36;0;0;1.097705;22.846
0;0;0;47;1;1;1.251576;56.1
0;0;4;40;0;0;.8376045;15
0;0;1;48;0;0;.9756319;20.3
0;1;1;44;0;0;.9904729;9.8
0;1;2;30;0;0;.9876235;8.1
0;3;3;37;1;1;.994983;13.44
0;0;4;36;0;0;.857758;15.5
0;1;3;33;0;1;.9785493;23.5
0;1;1;32;1;1;1.150608;50.3
0;0;1;49;0;0;.8514767;28.07
0;0;3;39;0;0;.4481892;21.5
0;0;2;41;1;0;1.173813;22.582
0;0;0;60;0;0;.9208875;18.5
0;0;2;45;0;1;.9762154;29.3
0;0;2;52;0;0;.3667226;68.035
0;0;5;47;0;0;1.114128;5.55
0;0;4;46;0;0;.3678896;19.365
0;0;0;52;0;0;.3121657;23
0;1;3;39;0;1;1.191435;24.76
0;0;0;51;0;0;.4071807;12.09
0;0;0;53;1;1;1.143383;20.2
0;0;3;44;0;0;1.039457;21.417
0;0;0;30;0;1;.9097289;14.694
0;1;1;30;0;1;.9097289;42.25
0;0;0;57;0;0;-.0058346;6.34
0;2;1;31;1;1;1.401642;23
0;0;0;47;0;0;1.29375;21.1
0;0;1;46;0;0;1.017964;16.24
0;0;2;37;1;1;1.065162;15.9
0;1;1;34;0;1;.908951;24.701
0;2;1;36;0;0;.7666139;15
0;0;0;45;0;0;.5651426;30
0;1;1;33;0;0;.9239924;9.45
0;0;3;43;0;0;.7257645;19.855
0;0;0;52;0;0;1.313457;19.237
0;1;1;33;1;1;1.51677;29
0;2;0;38;1;0;1.757632;18.6
0;1;1;30;0;0;.7391483;25.1
0;1;1;34;0;0;.9444474;13.7
0;1;1;43;0;0;1.259546;13.075
0;0;2;32;0;0;.9448364;11
0;0;2;45;0;1;1.190268;37.3
0;0;0;46;0;0;.9421135;23.26
0;0;1;56;0;0;.8501152;16.073
0;0;1;49;0;0;1.013068;13.399
0;0;0;48;0;0;.6594997;17.258
0;0;1;49;0;1;.9531989;31.8
0;0;0;56;1;0;1.436805;7.7
0;1;1;47;0;0;.3780428;21.8
0;0;2;54;0;0;1.270656;14.45
0;1;0;30;0;1;1.016764;19.392
0;0;0;53;0;0;.6716946;17.5
0;0;4;44;0;1;1.228085;18.85
0;0;0;49;0;0;1.227113;16
0;0;2;47;0;1;1.008145;32.5
0;0;2;52;0;1;1.067042;17.08
0;0;0;49;0;0;.7900099;8.63
0;2;2;30;0;0;.8180865;35
0;0;1;37;0;0;.1826694;22.159
0;0;1;50;0;0;.9058391;29.4
0;0;1;47;0;0;1.121527;17.7
0;0;1;51;0;0;1.094787;26.68
0;0;0;53;0;0;.8861951;21.574
0;1;2;31;0;0;.5734462;10.19
0;0;1;42;1;1;1.060236;31.7
0;0;2;46;0;0;.906617;24.135
0;0;4;50;0;0;1.145317;31
0;0;4;41;1;1;1.331652;18.45
0;0;1;48;0;0;1.015657;17.97
0;0;0;54;0;0;.8151277;13
0;0;1;50;0;0;.8550351;8.4
0;1;1;36;0;0;.9779658;16.7
0;0;0;54;0;0;.7640087;10.04
0;1;2;33;0;0;.6061511;8.009
0;0;3;40;0;0;1.210847;15.096
0;1;2;35;1;1;1.463912;28.45
0;1;1;32;0;1;1.041791;11.55
0;0;2;31;1;1;1.156383;28
0;1;0;31;1;0;1.669745;18.2
0;1;3;51;0;0;.2066842;44.988
0;0;1;36;0;0;.6935631;13.4
0;0;0;59;0;0;.9819832;16.476
0;2;0;35;0;1;1.097899;17.2
0;0;2;46;0;0;1.121722;18.3
0;0;0;52;0;0;.7997742;24
0;0;3;31;0;0;.6791221;4.35
0;0;1;46;0;0;1.121722;29.553
0;1;0;36;1;1;1.386436;21.768
0;1;2;36;0;0;.7925383;14.2
0;0;0;56;0;0;1.080648;8.3
0;0;0;52;0;0;1.292777;20.177
0;0;4;33;1;0;.9602645;18.214
0;0;0;51;0;0;1.319493;14
0;0;0;57;0;1;1.305121;18.8
0;1;2;36;0;1;.8714765;17.045
0;0;1;48;0;0;.9417245;24.5
0;0;0;53;0;0;.2062952;10.7
0;0;3;54;1;1;1.383681;35.4
0;1;2;40;0;1;.9771879;21
0;1;3;37;0;0;.7269315;14.75
0;0;0;56;0;0;1.305316;18.8
0;2;0;32;1;1;1.230121;14.7
0;0;1;42;0;0;.8703095;16.1
0;0;0;53;1;1;1.186011;18.965
0;0;0;53;1;1;1.062051;41.5
0;0;1;45;0;0;.8697261;42.8
0;0;1;41;0;1;1.218628;19.5
0;0;2;44;1;1;1.491301;20.883
0;0;0;33;1;1;1.493441;24
0;0;0;50;0;0;.9058391;21.6
0;0;2;52;0;0;1.188907;14.6
0;0;5;38;1;1;1.013849;21.85
0;0;0;56;0;0;.7743551;16.576
0;1;4;42;0;0;.6311384;15.98
0;1;2;43;0;0;1.014235;17.4
0;1;1;32;0;0;1.192797;14.8
0;0;3;47;0;0;1.209485;13.53
0;0;0;47;0;0;1.095565;25.32
0;0;3;37;1;1;1.432793;28.63
0;0;3;38;0;1;1.170435;24.47
0;0;3;36;1;1;1.432988;48.3
0;0;0;44;0;0;.5142181;18.9
0;0;0;44;1;0;1.042598;23.7
0;0;1;55;0;0;.3661391;13.4
0;0;0;49;0;0;.7757166;8
0;0;0;58;0;0;.4444938;10.592
0;3;1;31;1;1;.9606535;73.6
0;2;1;33;1;1;1.050318;40.25
0;0;5;34;0;1;.7929273;15.7
0;0;0;47;0;0;1.121527;25
0;0;0;48;1;1;1.026751;26.613
0;1;2;33;0;0;.9785493;18.22
0;0;3;35;0;0;.5554565;10.867
0;1;4;41;0;0;1.169851;7.05
0;1;3;38;1;0;.9767634;32.685
0;0;2;38;0;0;1.230872;16.682
0;0;2;42;0;0;.5254625;18.4
0;0;0;53;0;0;.734675;13.42
0;0;1;44;0;0;.9764099;20.3
0;0;1;51;0;0;.8548406;18.75
0;0;0;55;0;0;.7888429;28.6
0;1;2;30;0;1;.9452254;20.5
0;0;0;54;1;1;1.331518;33.856
0;0;2;38;0;1;.8710875;33.1
0;2;0;30;1;1;1.598657;16.05
0;0;2;50;0;0;.9058391;40.8
0;0;1;34;0;1;.4213425;7.04
0;2;3;34;0;0;1.069499;5
0;2;2;30;0;1;.8188999;10.027
0;0;3;38;0;0;.5365883;7.574
0;0;0;54;0;0;1.120166;20.95
0;2;0;33;0;0;1.041597;18.52
0;0;0;38;0;0;.8379935;16.788
0;0;3;51;0;0;.9759441;19.7
0;1;1;32;0;0;1.070932;14.5
0;0;2;36;0;0;.778245;9.09
0;0;0;53;0;1;1.12036;27.76
0;0;2;38;1;1;1.472049;37.25
0;0;2;36;0;1;.9234089;6
0;0;1;39;0;0;.7517971;15.189
0;2;0;30;1;1;1.700371;16.15
0;1;0;34;0;0;.8718655;17.5
0;0;1;45;0;0;.9068115;24.8
0;2;3;44;1;0;1.278906;18.874
0;1;2;35;1;1;1.120108;18.01
0;0;1;44;0;0;.8281056;15.55
0;0;3;44;0;0;.8524491;13.126
0;1;1;36;0;1;.4209535;20.528
0;0;0;55;0;0;.9520319;15
0;0;1;49;0;0;.3405683;11
0;0;3;32;0;0;1.016375;16.6
0;0;0;56;0;0;.974076;30.2
0;0;2;38;0;0;.711668;15.83
0;0;0;57;0;0;1.0062;12.925
0;0;0;60;0;0;1.093037;15.3
0;0;1;42;1;1;1.202214;31
0;0;5;43;0;1;.942697;21.823
0;0;1;45;0;1;1.169073;21.7
0;0;4;41;0;1;.8318294;35.91
0;1;0;30;0;1;1.117434;22.8
0;2;0;30;1;1;1.401837;23.6
0;0;1;49;0;1;.868948;21.025
1;0;1;30;0;0;1.406497;16
1;0;1;33;0;0;1.226446;24
1;0;2;43;1;0;1.769435;21.64
1;0;1;40;0;0;1.668861;22.641
1;0;5;36;0;0;.8380113;18.2
1;2;0;32;1;1;1.564986;15.1
1;1;1;45;0;0;1.241269;23.709
1;0;2;49;0;1;.94469;14.434
1;1;3;36;0;0;1.500936;10.7
1;0;4;39;0;0;.9162908;12.9
1;0;4;37;0;0;.5543109;12.75
1;0;2;36;1;0;1.912046;26.5
1;1;2;39;1;0;-1.543298;16.12
1;0;3;36;1;1;.5263296;32
1;0;0;46;0;0;.9942524;1.2
1;0;1;31;0;0;1.151605;14.6
1;1;2;40;1;1;.5753643;25.09
1;0;2;34;0;0;1.216992;13.14
1;0;0;47;0;0;1.16732;29.31
1;0;0;38;0;0;.8711703;10
1;1;3;36;0;0;3.218876;21
1;0;1;44;0;0;1.697177;18.9
1;0;1;38;0;1;1.391504;14.782
1;0;1;43;0;0;.5401976;24.928
1;0;2;43;0;0;1.122222;23.249
1;0;0;51;1;1;0;25.3
1;0;1;48;0;0;1.341558;59
1;0;2;42;1;1;.9162908;21
1;2;2;38;1;0;1.628224;18.43
1;0;1;49;1;1;.556288;39.1
1;0;0;35;1;1;1.681074;11.8
1;0;0;55;0;0;.682676;11.628
1;0;3;35;1;1;1.270113;34
1;0;0;52;1;0;1.926825;18.3
1;1;1;34;1;1;3.113515;19.8
1;0;0;50;0;1;.1839228;14.5
1;0;2;35;1;0;1.604687;5.12
1;0;0;54;0;0;.6931472;9.3
1;0;0;43;0;0;1.361017;18.56
1;0;0;30;1;1;1.927892;20.6
1;1;3;32;0;0;.6539265;17.507
1;0;3;35;0;0;1.077993;7.175999
1;0;0;41;1;1;1.948094;79.8
1;0;2;41;0;0;1.047319;7.9
1;0;3;36;0;0;1.406497;14.5
1;0;0;34;0;0;1.064711;7.8
1;0;1;43;1;1;1.368276;16.77
1;0;2;35;1;0;1.828968;-.0290001
1;0;3;43;0;0;1.376466;13.872
1;1;3;33;0;1;.9162908;43
1;0;2;34;1;0;1.226446;17.2
1;0;1;44;1;0;.5163968;14.52
1;0;3;37;0;1;.7280345;10.4
1;0;2;32;0;0;.8030804;9.02
1;1;1;34;0;0;1.499557;6.599998
1;0;2;32;1;1;.9146253;19.7
1;0;1;44;0;0;1.515198;16.4
1;0;5;37;1;1;2.120264;34.75
1;0;1;50;1;1;1.868332;33.05
1;0;1;44;1;1;2.733368;51.30001
1;0;1;45;1;1;.6931472;30.5
1;0;3;41;0;0;-.1996555;16.323
1;0;0;56;0;0;2.905078;10.787
1;0;2;46;0;0;.9162908;12.4
1;0;1;37;0;1;.9770272;34.5
1;0;3;39;1;1;1.021651;26
1;0;0;54;1;0;2.189256;18.22
1;0;3;43;0;0;1.465458;25.075
1;0;3;38;0;0;.6193811;5.486
1;0;0;54;0;0;.765718;20.25
1;0;1;32;0;1;-.7419373;17.15
1;0;0;40;1;1;3.064725;32
1;1;2;35;1;1;1.378326;23.5
1;0;2;45;1;1;1.944499;35.755
1;0;1;34;0;1;.1479199;14
1;0;3;42;0;0;.5590276;17.21
1;2;1;30;1;1;.7985076;13.7
1;0;0;46;0;0;1.306921;28
1;0;0;35;1;1;2.259526;37.3
1;0;2;57;0;0;3.155581;24.399
1;0;2;44;1;1;-1.766441;9
1;0;0;45;0;0;1.683176;10.775
1;0;0;50;1;1;-.433636;41.1
1;0;3;36;1;1;1.401799;15.8
1;0;2;44;0;0;.7907302;13.602
1;0;1;34;1;1;1.688481;26
1;0;0;52;1;0;1.180442;17.66
1;0;1;47;1;1;.5108258;28.6
1;0;4;49;0;0;1.455748;9.884
1;0;1;38;0;0;1.49139;15.54
1;0;2;40;0;0;1.475906;17.9
1;0;0;45;0;0;1.316235;16.98
1;0;2;32;0;0;.9555114;12
1;1;2;45;0;1;.7792501;10.47
1;0;2;40;0;0;.9332882;7.789001
1;0;0;56;0;0;.8649974;6.3
1;0;0;45;1;1;1.966113;20.75
1;0;2;35;0;1;1.84401;13
1;0;2;36;1;1;1.703748;23.6
1;0;2;32;0;0;1.633731;13.82
1;0;2;37;0;1;.6418539;33.3
1;0;5;52;0;1;.6931472;42.91
1;0;1;51;0;0;.8580216;22.25
1;0;1;30;0;0;1.75897;8.5
1;0;0;48;0;0;1.565953;30.75
1;0;4;34;0;0;.7999901;9.048
1;0;0;46;0;0;.4700036;9.9
1;0;0;47;0;0;1.270222;26.09
1;0;1;47;0;0;1.198723;14.7
1;0;0;47;0;1;1.203973;46.645
1;0;1;43;0;0;1.369487;11.844
1;0;0;47;0;0;1.473636;13.295
1;0;1;46;1;1;1.321756;16.555
1;0;1;48;1;1;2.472122;17.575
1;0;0;53;0;0;1.518311;9.800001
1;0;1;39;0;0;1.892005;17.455
1;0;0;57;1;1;1.636111;14.421
1;0;1;30;0;0;1.196087;15.591
1;0;1;40;0;0;1.321756;23.15
1;0;0;50;0;0;.0896122;24.5
1;0;3;45;0;0;.2282489;9.56
1;0;1;39;0;0;.8711449;13.677
1;0;2;34;1;0;.8472977;12.3
1;0;1;39;0;1;.7529984;18.857
1;0;2;32;1;1;1.547134;11.18
1;0;3;37;0;0;.6792445;9.999999
1;0;2;43;1;1;2.03499;19.31
1;0;0;46;0;1;1.166136;17.402
1;0;1;32;1;1;2.327163;17.79999
1;0;0;50;0;0;1.832582;27
1;0;0;59;1;1;1.293585;26
1;0;3;37;0;1;1.152646;28.04
1;0;0;49;0;1;1.058485;21.5
1;0;1;39;0;0;.8409411;4.800001
1;0;0;47;0;0;1.299839;18.76
1;0;2;32;1;1;2.153053;43.3
1;0;0;32;1;1;-.6113947;11
1;0;0;32;0;1;1.14361;18.5
1;0;1;49;0;1;2.233176;19.7
1;0;1;41;0;1;.9834995;34.2
1;0;2;34;0;0;.9872699;3.899999
1;0;0;34;0;0;.2010386;13.892
1;0;0;51;1;1;1.714798;38.4
1;0;1;45;1;0;1.390302;52.5
1;0;0;49;0;1;1.588547;53.5
1;1;0;30;0;1;1.118815;27
1;0;1;38;0;0;1.067114;12.5
1;0;0;54;1;1;1.112367;6.491002
1;0;2;43;1;0;1.379177;8.56
1;0;0;38;0;0;2.083896;17.201
1;0;3;37;0;0;.6208265;21.3
1;0;3;36;0;1;1.603207;16.4
1;0;0;41;1;0;1.078809;13.15
1;0;0;41;0;1;.5777649;27.04
1;1;2;36;0;0;.4953217;9.174999
1;0;3;48;0;0;.1812526;13.392
1;0;1;41;0;0;.895445;28.981
1;0;0;56;1;1;1.976104;18.159
1;1;2;36;1;1;1.919593;14.2
1;0;2;47;1;0;2.322788;25.205
1;0;4;40;0;0;.8602011;16.165
1;0;1;45;0;1;1.332389;29.7
1;0;1;32;0;0;.5108258;15.05
1;0;0;59;0;0;.2231435;14.78
1;0;1;47;1;1;1.410587;41.4
1;0;1;45;1;1;1.710179;13
1;0;1;47;1;0;1.568616;28.502
1;0;0;54;0;1;.5596158;34.857
1;0;3;38;0;0;.9571128;10.5
1;0;3;32;0;1;0;39.213
1;1;0;53;0;0;1.290984;18.275
1;1;3;35;1;1;.3930422;25.38
1;0;0;49;0;1;1.410587;13.5
1;0;4;34;0;0;.4700036;20.66
1;0;2;31;1;0;1.162377;9.999999
1;0;0;51;1;1;2.031012;31.811
1;1;5;30;0;0;.7013053;7.2
1;0;0;52;1;1;2.261458;39.14
1;1;0;30;1;1;2.101032;24.25
1;0;0;51;0;0;1.422852;10.7
1;0;1;43;0;0;2.066196;25
1;0;4;31;0;0;.9263413;14.9
1;0;3;40;0;0;1.955389;14.03
1;0;3;46;0;0;1.460142;19.007
1;0;2;38;0;1;-.0392208;13.025
1;0;1;32;0;1;1.626729;17.4
1;0;2;32;1;0;1.924149;24.626
1;0;0;48;0;0;.9698421;4.811
1;0;0;52;1;1;2.347467;16.69999
1;0;2;38;1;1;2.146531;32.025
1;0;0;55;0;0;1.562092;16.35
1;0;1;49;0;0;-.4209214;19.103
1;0;3;43;0;1;1.685197;29.117
1;0;1;38;0;0;1.297063;6.5
1;0;1;31;1;0;1.01857;9.466
1;1;0;30;0;1;1.60232;19.08
1;0;0;52;0;0;1.250366;10.4
1;0;1;37;0;0;1.443117;11.4
1;0;3;37;0;0;1.090644;9
1;0;0;52;0;0;1.832582;28.8
1;1;2;34;1;1;1.799216;28.2
1;0;2;42;0;1;1.386294;20.633
1;0;3;43;1;1;1.675189;22.4
1;0;4;46;1;1;2.069491;26.59
1;0;2;37;0;1;.9808294;19.16
1;0;0;45;0;0;.469369;8.933
1;0;1;47;0;0;1.729724;25.7
1;0;1;48;0;0;1.892005;21
1;1;2;36;0;0;-2.054124;11.2
1;0;0;45;0;0;.6208265;13.5
1;0;2;33;0;0;1.1078;10.954
1;1;5;41;0;1;2.295868;18.272
1;0;0;46;1;0;.7487171;7.79
1;0;0;52;0;0;.5369517;3.671
1;0;0;59;0;0;.8377283;3.3
1;0;2;41;0;0;1.357383;15.6
1;0;0;52;0;0;1.203973;6.25
1;0;0;50;0;0;1.22887;6.7
1;0;0;39;0;0;2.885191;22.2
1;0;0;45;1;0;1.266948;13.8
1;0;1;34;0;0;1.154627;12.845
1;0;1;43;0;0;1.090644;18.195
1;0;2;44;0;0;.9884722;10.437
1;0;0;51;0;0;1.399717;10.5
1;0;0;54;0;0;.1053605;20.5
1;0;0;30;1;1;2.364461;17.8
1;1;1;34;1;1;2.251892;24.1
1;0;1;40;0;0;1.513107;32.9
1;0;3;42;1;1;1.75562;32.43
1;0;1;44;1;0;1.582088;18
1;0;0;51;0;0;.9555114;20.68
1;0;1;36;0;0;1.884423;11.1
1;0;3;40;0;1;1.300016;20.75
1;0;3;33;1;1;.5596158;31.2
1;0;3;31;0;0;1.497102;18
1;0;3;43;0;0;1.427116;12.54
1;0;4;39;0;0;1.241713;16
1;0;0;54;0;0;.8221774;13.3
1;0;0;30;0;1;.2231435;8.237
1;0;3;33;0;1;-.409162;17.1
1;0;1;49;1;0;1.688732;6.016001
1;0;0;37;1;1;1.791759;17.07
1;1;5;39;0;1;.9681486;33.97
1;0;2;40;0;0;3.218876;21.22
1;0;2;38;1;1;1.410587;25.2
1;0;2;48;0;0;1.544899;9
1;0;1;39;0;0;1.437588;23.668
1;0;4;36;1;1;2.158004;21.372
1;0;1;49;0;0;1.098612;44
1;0;2;51;0;0;1.331806;38
1;0;0;37;0;0;.4602733;9.2
1;0;1;46;1;1;1.710541;19.298
1;0;0;47;0;0;.7092764;13.9
1;0;1;32;0;1;.8109302;25.6
1;0;0;44;0;0;.474356;13.134
1;0;1;31;0;0;1.031529;7.8
1;0;1;54;0;1;1.724951;17.397
1;0;2;41;0;0;.9421319;9.645
1;0;0;30;0;0;1.094982;14
1;0;2;43;0;0;.7550228;13.119
1;0;0;46;1;1;1.517923;44
1;0;0;46;1;1;2.606698;17.5
1;0;3;35;0;0;.5753643;12.5
1;0;0;46;0;0;1.415044;20.576
1;1;0;43;1;1;1.049822;14.4
1;0;3;34;1;1;.2231435;21.2
1;0;2;37;1;1;1.616463;27.3
1;0;3;37;0;0;.636137;12.709
1;0;3;35;0;0;1.021651;13.2
1;0;1;46;1;1;1.443311;10
1;0;0;43;1;1;1.236917;19.721
1;1;3;33;0;0;.5108258;2.2
1;0;0;54;1;1;1.95964;27.8
1;0;0;47;1;1;2.102915;32.7
1;1;0;31;1;1;1.386294;11.1
1;0;3;43;0;1;.6325226;22.395
1;1;1;33;1;1;.9052411;17.02
1;0;2;42;1;1;1.495027;27.5
1;0;3;40;1;1;2.001807;15.9
1;0;1;53;1;1;.1216024;40
1;0;2;36;0;0;1.553268;27.872
1;0;2;46;0;0;1.098612;16
1;1;2;36;0;0;.4855078;5.315
1;0;0;53;0;0;.2025245;27.2
1;0;1;51;0;0;.8943118;13.732
1;0;2;41;1;1;1.480605;12
1;0;0;49;1;1;2.130897;19.5
1;0;0;58;0;1;1.892132;16
1;0;0;50;0;1;1.491655;17
1;1;2;33;0;1;1.203973;20.72
1;1;0;36;1;1;1.832582;17
1;0;2;39;0;0;.7827594;26.15
1;0;1;47;0;0;.9416087;20.85
1;0;1;45;0;0;.7243997;23.56
1;0;1;38;1;0;2.14398;21.3
1;0;2;34;0;0;1.193501;19.205
1;0;0;55;0;0;1.648659;17.324
1;1;2;31;0;0;.6161863;15.5
1;0;4;35;0;0;1.540445;18.4
1;0;1;54;1;0;.8648585;16.142
1;1;0;33;0;0;1.290984;11.8
1;0;3;45;1;1;-.9606265;23.675
1;0;2;35;0;0;-1.822531;17.9
1;0;0;47;1;0;2.288599;22
1;1;1;31;1;0;1.689481;14.5
1;0;2;43;0;1;1.478958;10.9
1;0;0;41;0;0;1.075344;9.62
1;0;3;54;1;1;1.016289;34.6
1;0;0;47;0;0;1.350993;22.3
1;1;3;38;1;1;1.299283;91
1;0;2;45;0;0;1.791759;17.774
1;0;0;49;0;1;1.406497;16.15
1;0;0;49;0;0;-.6931472;14.749
1;0;3;46;0;0;1.760261;43
1;0;0;47;1;1;1.375157;46
1;0;1;45;1;1;1.531155;23.7
1;0;0;55;1;1;1.504077;14.3
1;2;0;31;1;1;2.230264;14.245
1;0;4;36;0;1;.2876818;25.2
1;0;1;44;0;0;1.224176;17.669
1;0;3;47;0;1;1.172882;20.886
1;0;0;46;0;0;1.386294;8.12
1;0;3;33;1;1;.3285041;21
1;0;2;42;0;0;1.321756;17.05
1;0;1;48;1;1;1.6549;70.75
1;1;2;47;0;1;.8783384;20.989
1;0;1;36;0;0;1.05843;25.612
1;0;1;37;0;0;.4282221;10.877
1;0;2;34;1;1;.8843079;26
1;0;0;47;0;1;.901402;20.7
1;0;2;32;1;1;.5559003;26.3
1;0;1;45;0;0;1.580689;23.8
1;0;1;45;0;0;1.028209;12.825
1;0;4;31;0;1;-.3364723;19.63
1;0;2;48;0;0;-.6931472;28.7
1;1;2;33;0;1;.114816;30.235
1;2;0;33;0;0;.5108258;17.09
1;0;2;44;0;1;1.568318;18.239
1;1;3;39;0;0;.347432;13.632
1;0;1;46;1;1;1.658628;45.75
1;0;2;46;0;0;.9932518;10.55
1;0;0;59;1;1;1.129865;10.5
1;0;1;54;1;1;2.120264;20.95
1;0;0;51;0;0;.4863622;2.134
1;0;0;56;1;1;1.265848;24.7
1;0;1;50;0;0;1.073674;17.695
1;0;0;60;1;0;0;12.15
1;0;0;50;0;0;-.1505728;12.085
1;0;0;58;0;1;.9381955;32.35
